Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating,Month
A,Yangon,Member,Female,Health and beauty,74.69,7,548.9715,2019-01-05,13:08,Ewallet,522.83,26.1415,9.1,01
C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,80.22,2019-03-08,10:29,Cash,76.4,3.82,9.6,03
A,Yangon,Normal,Male,Home and lifestyle,46.33,7,340.5255,2019-03-03,13:23,Credit card,324.31,16.2155,7.4,03
A,Yangon,Member,Male,Health and beauty,58.22,8,489.048,2019-01-27,20:33,Ewallet,465.76,23.288,8.4,01
A,Yangon,Normal,Male,Sports and travel,86.31,7,634.3785,2019-02-08,10:37,Ewallet,604.17,30.2085,5.3,02
C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,627.6165,2019-03-25,18:30,Ewallet,597.73,29.8865,4.1,03
A,Yangon,Member,Female,Electronic accessories,68.84,6,433.692,2019-02-25,14:36,Ewallet,413.04,20.652,5.8,02
C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,772.38,2019-02-24,11:38,Ewallet,735.6,36.78,8.0,02
A,Yangon,Member,Female,Health and beauty,36.26,2,76.146,2019-01-10,17:15,Credit card,72.52,3.626,7.2,01
B,Mandalay,Member,Female,Food and beverages,54.84,3,172.746,2019-02-20,13:27,Credit card,164.52,8.226,5.9,02
B,Mandalay,Member,Female,Fashion accessories,14.48,4,60.816,2019-02-06,18:07,Ewallet,57.92,2.896,4.5,02
B,Mandalay,Member,Male,Electronic accessories,25.51,4,107.142,2019-03-09,17:03,Cash,102.04,5.102,6.8,03
A,Yangon,Normal,Female,Electronic accessories,46.95,5,246.4875,2019-02-12,10:25,Ewallet,234.75,11.7375,7.1,02
A,Yangon,Normal,Male,Food and beverages,43.19,10,453.495,2019-02-07,16:48,Ewallet,431.9,21.595,8.2,02
A,Yangon,Normal,Female,Health and beauty,71.38,10,749.49,2019-03-29,19:21,Cash,713.8,35.69,5.7,03
B,Mandalay,Member,Female,Sports and travel,93.72,6,590.436,2019-01-15,16:19,Cash,562.32,28.116,4.5,01
A,Yangon,Member,Female,Health and beauty,68.93,7,506.6355,2019-03-11,11:03,Credit card,482.51,24.1255,4.6,03
A,Yangon,Normal,Male,Sports and travel,72.61,6,457.443,2019-01-01,10:39,Credit card,435.66,21.783,6.9,01
A,Yangon,Normal,Male,Food and beverages,54.67,3,172.2105,2019-01-21,18:00,Credit card,164.01,8.2005,8.6,01
B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,84.63,2019-03-11,15:30,Ewallet,80.6,4.03,4.4,03
C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,451.71,2019-02-25,11:24,Ewallet,430.2,21.51,4.8,02
B,Mandalay,Normal,Male,Health and beauty,87.98,3,277.137,2019-03-05,10:40,Ewallet,263.94,13.197,5.1,03
B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,69.72,2019-03-15,12:20,Credit card,66.4,3.32,4.4,03
A,Yangon,Normal,Male,Electronic accessories,34.56,5,181.44,2019-02-17,11:15,Ewallet,172.8,8.64,9.9,02
A,Yangon,Member,Male,Sports and travel,88.63,3,279.1845,2019-03-02,17:36,Ewallet,265.89,13.2945,6.0,03
A,Yangon,Member,Female,Home and lifestyle,52.59,8,441.756,2019-03-22,19:20,Credit card,420.72,21.036,8.5,03
B,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.196,2019-02-08,15:31,Cash,33.52,1.676,6.7,02
